test_id,version,original_key,recovered_key,noise_level,bit_precision,recovery_exact,annealing_start,annealing_steps
107,1.1,b9acf3d9ad286ef4625764fd05e4ff95,f9ace3d9ad206eb4625764fd05e4ff95,0.05,96.88,False,0.35,10
108,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b9acf3d3ad286ef4625764fd05e5fd95,0.1,96.88,False,0.35,10
109,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b96cf3d8ad006ef4625764f505a47f95,0.15,93.75,False,0.35,10
110,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b9aef3c1bf086ef442556cfd8565ff95,0.2,90.62,False,0.35,10
111,1.1,b9acf3d9ad286ef4625764fd05e4ff95,9da8f2d16c28faf6029f20dd07e4ff15,0.25,82.81,False,0.35,10
112,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b90cf3dd8f0864d46057e4dd2164ffb7,0.3,86.72,False,0.35,10
113,1.1,b9acf3d9ad286ef4625764fd05e4ff95,b9e8faf9ad027e646a5744ff45f4ef94,0.35,85.94,False,0.35,10
114,1.1,b9acf3d9ad286ef4625764fd05e4ff95,abbcf2d9ed2860b44bd7e4bc07e4bf95,0.4,85.94,False,0.35,10
115,1.1,b9acf3d9ad286ef4625764fd05e4ff95,f99c937bc238eef4e217645ff5f4baa5,0.45,75.78,False,0.35,10
116,1.1,b9acf3d9ad286ef4625764fd05e4ff95,46532932427771b909e10b16fa5b9434,0.5,26.56,False,0.35,10
117,1.1,b9acf3d9ad286ef4625764fd05e4ff95,7efb0c6752f5b05b5fa8efa2f89b002a,0.55,20.31,False,0.35,10
118,1.1,b9acf3d9ad286ef4625764fd05e4ff95,177e0c265057a10999a88b02e80b2962,0.6,16.41,False,0.35,10
119,1.1,b9acf3d9ad286ef4625764fd05e4ff95,47f34c0e7655910b9de8db127a49006a,0.65,13.28,False,0.35,10
120,1.1,b9acf3d9ad286ef4625764fd05e4ff95,4f570ce6d2bb951b9da89b088a1b016a,0.7,14.06,False,0.35,10
121,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,7a37d4d6c5e11617f0208a8ba9947e9a,0.0,100.0,True,0.4,10
122,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,7a37d4d6c5611617f0208a8ba9947e9a,0.05,99.22,False,0.4,10
123,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,fa37d0d6c5e11617f0208a9ba99c36da,0.1,94.53,False,0.4,10
124,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,5a37d4c645e11e17b4200a8be99c7eda,0.15,92.19,False,0.4,10
125,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,7a37d4d4c1e85637f0208a8ba914661a,0.2,92.19,False,0.4,10
126,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,7836d486d5a1151660308a0be9d47ed8,0.25,86.72,False,0.4,10
127,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,78b7dcd645e9163794200ac9a9d57dba,0.3,86.72,False,0.4,10
128,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,2637c4d6c7e01617f220ae8de886da90,0.35,83.59,False,0.4,10
129,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,7a26b6d647d31607f1208a8bb91d7aa2,0.4,84.38,False,0.4,10
130,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,5a17d6f655d1165fd0608883b1b4ee98,0.45,84.38,False,0.4,10
131,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,85cf2b27ba31c9c82fdf6016364b8144,0.5,20.31,False,0.4,10
132,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,e5d823bf3a1bf9eb8ff31164f67b80e7,0.55,21.09,False,0.4,10
133,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,85c96f893a1fe9e24fe775f45e68c063,0.6,15.62,False,0.4,10
134,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,85ec33393b96c94c2dfff564d64fa155,0.65,17.97,False,0.4,10
135,1.1,7a37d4d6c5e11617f0208a8ba9947e9a,81a06b28383ec8e84fdf7d3ed6ab9361,0.7,16.41,False,0.4,10
136,1.1,845a2273f71eb6437d881f1b31dfda39,845a2273f71eb6437d881f1b31dfda39,0.0,100.0,True,0.45,10
137,1.1,845a2273f71eb6437d881f1b31dfda39,845a2273f71ef6437d881f1b31d7da39,0.05,98.44,False,0.45,10
138,1.1,845a2273f71eb6437d881f1b31dfda39,845a2273f71ea6437d885f1b31dfda39,0.1,98.44,False,0.45,10
139,1.1,845a2273f71eb6437d881f1b31dfda39,8e5e6271f71eb64375881f1f31dfda39,0.15,94.53,False,0.45,10
140,1.1,845a2273f71eb6437d881f1b31dfda39,8952227bf71eb44b7dda1f3a31dfda3d,0.2,89.84,False,0.45,10
141,1.1,845a2273f71eb6437d881f1b31dfda39,861a2373b71e96435c9f1a1b70dfd239,0.25,87.5,False,0.45,10
142,1.1,845a2273f71eb6437d881f1b31dfda39,825ae272c376b6625d881f1b23dffa09,0.3,85.16,False,0.45,10
143,1.1,845a2273f71eb6437d881f1b31dfda39,885e2273e7def7624cc81f0bb1dfca28,0.35,85.16,False,0.45,10
144,1.1,845a2273f71eb6437d881f1b31dfda39,845a2152ff1e27427d081fb73b5bda3c,0.4,84.38,False,0.45,10
145,1.1,845a2273f71eb6437d881f1b31dfda39,86cea25bf72ea6ca1d891e593bdf829f,0.45,78.12,False,0.45,10
146,1.1,845a2273f71eb6437d881f1b31dfda39,3aedd99c0c315abe2bfda66cff2425cb,0.5,25.78,False,0.45,10
147,1.1,845a2273f71eb6437d881f1b31dfda39,3b87ec8c096175ed80e2ececeea0e5ce,0.55,21.88,False,0.45,10
148,1.1,845a2273f71eb6437d881f1b31dfda39,3b26cd9c18e54994a7b7e06486226586,0.6,16.41,False,0.45,10
149,1.1,845a2273f71eb6437d881f1b31dfda39,7ba5558ca8e249e49273e860da20b3c2,0.65,16.41,False,0.45,10
150,1.1,845a2273f71eb6437d881f1b31dfda39,7be49ccc08e108bd82f6e0b4c211a5c6,0.7,14.06,False,0.45,10
151,1.1,e38febc5660177a1f3e97d12eddb5fd0,e38febc5660177a1f3e97d12eddb5fd0,0.0,100.0,True,0.5,10
152,1.1,e38febc5660177a1f3e97d12eddb5fd0,c38febd5660177a1f3e97d12eddb5fd0,0.05,98.44,False,0.5,10
153,1.1,e38febc5660177a1f3e97d12eddb5fd0,ab8febc5668177a1f3e97d12ed9a7fd0,0.1,95.31,False,0.5,10
154,1.1,e38febc5660177a1f3e97d12eddb5fd0,e38f2bc5624176f1f3697d02efdb5ed0,0.15,91.41,False,0.5,10
155,1.1,e38febc5660177a1f3e97d12eddb5fd0,e3cfebc576617f80f3e87d02e5ca5fd0,0.2,90.62,False,0.5,10
156,1.1,e38febc5660177a1f3e97d12eddb5fd0,e38b6908660137a9f3c93d82cd936fd0,0.25,85.16,False,0.5,10
157,1.1,e38febc5660177a1f3e97d12eddb5fd0,c38fee852601b781e3e96d132ddd5f14,0.3,85.94,False,0.5,10
158,1.1,e38febc5660177a1f3e97d12eddb5fd0,c1efebc5668977f1b37b5d1acddb5fb1,0.35,85.94,False,0.5,10
159,1.1,e38febc5660177a1f3e97d12eddb5fd0,e28febcc67c37f839a4bfd10e9db1fc4,0.4,82.03,False,0.5,10
160,1.1,e38febc5660177a1f3e97d12eddb5fd0,eb8fab917631ffe5ffeb791fec1b47d2,0.45,80.47,False,0.5,10
161,1.1,e38febc5660177a1f3e97d12eddb5fd0,a9aaafa662336765b7affd3de81b74c8,0.5,67.97,False,0.5,10
162,1.1,e38febc5660177a1f3e97d12eddb5fd0,1c1a148a99ee884a0d9ea2e5546c903b,0.55,18.75,False,0.5,10
163,1.1,e38febc5660177a1f3e97d12eddb5fd0,1c70043ad8ee8a1b0c0792e71aa5780f,0.6,16.41,False,0.5,10
164,1.1,e38febc5660177a1f3e97d12eddb5fd0,8e60140f98fea07e0cb684ed1464b4ab,0.65,17.97,False,0.5,10
165,1.1,e38febc5660177a1f3e97d12eddb5fd0,0ee0143999fe885e0e1483eb1234a83f,0.7,10.94,False,0.5,10
