timestamp,pattern_id,version,annealing_start,annealing_steps,noise_level,bit_diff,precision,exact_match,repetitions,chunk_size
2025-08-04T17:39:37.020129,key_3,1.3-A,0.3,10,0.55,127,0.78,False,2,4
2025-08-04T17:39:37.037388,key_1,1.3-A,0.3,10,0.25,0,100.00,True,2,8
2025-08-04T17:39:37.051980,key_1,1.3-A,0.3,10,0.3,0,100.00,True,2,8
2025-08-04T17:39:37.067046,key_1,1.3-A,0.3,10,0.35,0,100.00,True,2,8
2025-08-04T17:39:37.081783,key_1,1.3-A,0.3,10,0.4,61,52.34,False,2,8
2025-08-04T17:39:37.096319,key_1,1.3-A,0.3,10,0.45,0,100.00,True,2,8
2025-08-04T17:39:37.111061,key_1,1.3-A,0.3,10,0.5,60,53.12,False,2,8
2025-08-04T17:39:37.125608,key_1,1.3-A,0.3,10,0.55,67,47.66,False,2,8
2025-08-04T17:39:37.140374,key_2,1.3-A,0.3,10,0.25,0,100.00,True,2,8
2025-08-04T17:39:37.155027,key_2,1.3-A,0.3,10,0.3,0,100.00,True,2,8
2025-08-04T17:39:37.170289,key_2,1.3-A,0.3,10,0.35,0,100.00,True,2,8
2025-08-04T17:39:37.185188,key_2,1.3-A,0.3,10,0.4,0,100.00,True,2,8
2025-08-04T17:39:37.199882,key_2,1.3-A,0.3,10,0.45,61,52.34,False,2,8
2025-08-04T17:39:37.214549,key_2,1.3-A,0.3,10,0.5,61,52.34,False,2,8
2025-08-04T17:39:37.229491,key_2,1.3-A,0.3,10,0.55,128,0.00,False,2,8
2025-08-04T17:39:37.244233,key_3,1.3-A,0.3,10,0.25,0,100.00,True,2,8
2025-08-04T17:39:37.258642,key_3,1.3-A,0.3,10,0.3,0,100.00,True,2,8
2025-08-04T17:39:37.273435,key_3,1.3-A,0.3,10,0.35,0,100.00,True,2,8
2025-08-04T17:39:37.288202,key_3,1.3-A,0.3,10,0.4,61,52.34,False,2,8
2025-08-04T17:39:37.302841,key_3,1.3-A,0.3,10,0.45,60,53.12,False,2,8
2025-08-04T17:39:37.317523,key_3,1.3-A,0.3,10,0.5,60,53.12,False,2,8
2025-08-04T17:39:37.332121,key_3,1.3-A,0.3,10,0.55,60,53.12,False,2,8
2025-08-04T17:39:37.342941,key_1,1.3-A,0.3,10,0.25,0,100.00,True,2,16
2025-08-04T17:39:37.351936,key_1,1.3-A,0.3,10,0.3,0,100.00,True,2,16
2025-08-04T17:39:37.361060,key_1,1.3-A,0.3,10,0.35,0,100.00,True,2,16
2025-08-04T17:39:37.369853,key_1,1.3-A,0.3,10,0.4,0,100.00,True,2,16
2025-08-04T17:39:37.378928,key_1,1.3-A,0.3,10,0.45,54,57.81,False,2,16
2025-08-04T17:39:37.387811,key_1,1.3-A,0.3,10,0.5,76,40.62,False,2,16
2025-08-04T17:39:37.397066,key_1,1.3-A,0.3,10,0.55,74,42.19,False,2,16
2025-08-04T17:39:37.405925,key_2,1.3-A,0.3,10,0.25,1,99.22,False,2,16
2025-08-04T17:39:37.415190,key_2,1.3-A,0.3,10,0.3,1,99.22,False,2,16
2025-08-04T17:39:37.424030,key_2,1.3-A,0.3,10,0.35,57,55.47,False,2,16
2025-08-04T17:39:37.432937,key_2,1.3-A,0.3,10,0.4,1,99.22,False,2,16
2025-08-04T17:39:37.441835,key_2,1.3-A,0.3,10,0.45,24,81.25,False,2,16
2025-08-04T17:39:37.450939,key_2,1.3-A,0.3,10,0.5,57,55.47,False,2,16
2025-08-04T17:39:37.460046,key_2,1.3-A,0.3,10,0.55,127,0.78,False,2,16
2025-08-04T17:39:37.469340,key_3,1.3-A,0.3,10,0.25,0,100.00,True,2,16
2025-08-04T17:39:37.478501,key_3,1.3-A,0.3,10,0.3,0,100.00,True,2,16
2025-08-04T17:39:37.487255,key_3,1.3-A,0.3,10,0.35,0,100.00,True,2,16
2025-08-04T17:39:37.496554,key_3,1.3-A,0.3,10,0.4,0,100.00,True,2,16
2025-08-04T17:39:37.505335,key_3,1.3-A,0.3,10,0.45,0,100.00,True,2,16
2025-08-04T17:39:37.514552,key_3,1.3-A,0.3,10,0.5,72,43.75,False,2,16
2025-08-04T17:39:37.523388,key_3,1.3-A,0.3,10,0.55,128,0.00,False,2,16
2025-08-04T17:39:37.531288,key_1,1.3-A,0.3,10,0.25,0,100.00,True,2,32
2025-08-04T17:39:37.536805,key_1,1.3-A,0.3,10,0.3,0,100.00,True,2,32
2025-08-04T17:39:37.542317,key_1,1.3-A,0.3,10,0.35,0,100.00,True,2,32
2025-08-04T17:39:37.547915,key_1,1.3-A,0.3,10,0.4,0,100.00,True,2,32
2025-08-04T17:39:37.553453,key_1,1.3-A,0.3,10,0.45,0,100.00,True,2,32
2025-08-04T17:39:37.558959,key_1,1.3-A,0.3,10,0.5,72,43.75,False,2,32
2025-08-04T17:39:37.564788,key_1,1.3-A,0.3,10,0.55,56,56.25,False,2,32
2025-08-04T17:39:37.570243,key_2,1.3-A,0.3,10,0.25,1,99.22,False,2,32
2025-08-04T17:39:37.575774,key_2,1.3-A,0.3,10,0.3,1,99.22,False,2,32
2025-08-04T17:39:37.581834,key_2,1.3-A,0.3,10,0.35,1,99.22,False,2,32
2025-08-04T17:39:37.587373,key_2,1.3-A,0.3,10,0.4,1,99.22,False,2,32
2025-08-04T17:39:37.593123,key_2,1.3-A,0.3,10,0.45,57,55.47,False,2,32
2025-08-04T17:39:37.598841,key_2,1.3-A,0.3,10,0.5,60,53.12,False,2,32
2025-08-04T17:39:37.604468,key_2,1.3-A,0.3,10,0.55,127,0.78,False,2,32
2025-08-04T17:39:37.610119,key_3,1.3-A,0.3,10,0.25,1,99.22,False,2,32
2025-08-04T17:39:37.615872,key_3,1.3-A,0.3,10,0.3,1,99.22,False,2,32
2025-08-04T17:39:37.621363,key_3,1.3-A,0.3,10,0.35,1,99.22,False,2,32
2025-08-04T17:39:37.627185,key_3,1.3-A,0.3,10,0.4,1,99.22,False,2,32
2025-08-04T17:39:37.632833,key_3,1.3-A,0.3,10,0.45,1,99.22,False,2,32
2025-08-04T17:39:37.638281,key_3,1.3-A,0.3,10,0.5,70,45.31,False,2,32
2025-08-04T17:39:37.644038,key_3,1.3-A,0.3,10,0.55,127,0.78,False,2,32
2025-08-04T17:39:37.743988,key_1,1.3-A,0.3,10,0.25,0,100.00,True,3,1
2025-08-04T17:39:37.840022,key_1,1.3-A,0.3,10,0.3,0,100.00,True,3,1
2025-08-04T17:39:37.937480,key_1,1.3-A,0.3,10,0.35,0,100.00,True,3,1
2025-08-04T17:39:38.034551,key_1,1.3-A,0.3,10,0.4,0,100.00,True,3,1
2025-08-04T17:39:38.145365,key_1,1.3-A,0.3,10,0.45,66,48.44,False,3,1
2025-08-04T17:39:38.242744,key_1,1.3-A,0.3,10,0.5,62,51.56,False,3,1
2025-08-04T17:39:38.343240,key_1,1.3-A,0.3,10,0.55,62,51.56,False,3,1
2025-08-04T17:39:38.441735,key_2,1.3-A,0.3,10,0.25,0,100.00,True,3,1
2025-08-04T17:39:38.538682,key_2,1.3-A,0.3,10,0.3,0,100.00,True,3,1
2025-08-04T17:39:38.636021,key_2,1.3-A,0.3,10,0.35,0,100.00,True,3,1
2025-08-04T17:39:38.733093,key_2,1.3-A,0.3,10,0.4,32,75.00,False,3,1
2025-08-04T17:39:38.829705,key_2,1.3-A,0.3,10,0.45,0,100.00,True,3,1
2025-08-04T17:39:38.926441,key_2,1.3-A,0.3,10,0.5,64,50.00,False,3,1
2025-08-04T17:39:39.022710,key_2,1.3-A,0.3,10,0.55,66,48.44,False,3,1
2025-08-04T17:39:39.119625,key_3,1.3-A,0.3,10,0.25,0,100.00,True,3,1
2025-08-04T17:39:39.217863,key_3,1.3-A,0.3,10,0.3,0,100.00,True,3,1
2025-08-04T17:39:39.314854,key_3,1.3-A,0.3,10,0.35,0,100.00,True,3,1
2025-08-04T17:39:39.414690,key_3,1.3-A,0.3,10,0.4,0,100.00,True,3,1
2025-08-04T17:39:39.511683,key_3,1.3-A,0.3,10,0.45,64,50.00,False,3,1
2025-08-04T17:39:39.608630,key_3,1.3-A,0.3,10,0.5,128,0.00,False,3,1
2025-08-04T17:39:39.705921,key_3,1.3-A,0.3,10,0.55,128,0.00,False,3,1
2025-08-04T17:39:39.734826,key_1,1.3-A,0.3,10,0.25,0,100.00,True,3,4
2025-08-04T17:39:39.762505,key_1,1.3-A,0.3,10,0.3,0,100.00,True,3,4
2025-08-04T17:39:39.789047,key_1,1.3-A,0.3,10,0.35,0,100.00,True,3,4
2025-08-04T17:39:39.815790,key_1,1.3-A,0.3,10,0.4,0,100.00,True,3,4
2025-08-04T17:39:39.842301,key_1,1.3-A,0.3,10,0.45,0,100.00,True,3,4
2025-08-04T17:39:39.868933,key_1,1.3-A,0.3,10,0.5,70,45.31,False,3,4
2025-08-04T17:39:39.897199,key_1,1.3-A,0.3,10,0.55,68,46.88,False,3,4
2025-08-04T17:39:39.924497,key_2,1.3-A,0.3,10,0.25,0,100.00,True,3,4
2025-08-04T17:39:39.951248,key_2,1.3-A,0.3,10,0.3,0,100.00,True,3,4
2025-08-04T17:39:39.978556,key_2,1.3-A,0.3,10,0.35,0,100.00,True,3,4
2025-08-04T17:39:40.005370,key_2,1.3-A,0.3,10,0.4,0,100.00,True,3,4
2025-08-04T17:39:40.032247,key_2,1.3-A,0.3,10,0.45,0,100.00,True,3,4
2025-08-04T17:39:40.059138,key_2,1.3-A,0.3,10,0.5,70,45.31,False,3,4
2025-08-04T17:39:40.086173,key_2,1.3-A,0.3,10,0.55,128,0.00,False,3,4
2025-08-04T17:39:40.113226,key_3,1.3-A,0.3,10,0.25,0,100.00,True,3,4
2025-08-04T17:39:40.140167,key_3,1.3-A,0.3,10,0.3,0,100.00,True,3,4
2025-08-04T17:39:40.167441,key_3,1.3-A,0.3,10,0.35,0,100.00,True,3,4
2025-08-04T17:39:40.194212,key_3,1.3-A,0.3,10,0.4,60,53.12,False,3,4
2025-08-04T17:39:40.221031,key_3,1.3-A,0.3,10,0.45,0,100.00,True,3,4
2025-08-04T17:39:40.247641,key_3,1.3-A,0.3,10,0.5,68,46.88,False,3,4
2025-08-04T17:39:40.273919,key_3,1.3-A,0.3,10,0.55,60,53.12,False,3,4
2025-08-04T17:39:40.290685,key_1,1.3-A,0.3,10,0.25,0,100.00,True,3,8
2025-08-04T17:39:40.305414,key_1,1.3-A,0.3,10,0.3,0,100.00,True,3,8
2025-08-04T17:39:40.320424,key_1,1.3-A,0.3,10,0.35,0,100.00,True,3,8
2025-08-04T17:39:40.335376,key_1,1.3-A,0.3,10,0.4,0,100.00,True,3,8
